,cds,county_code,district_code,school_code
0,01100170112607,01,10017,0112607
1,01611190130229,01,61119,0130229
2,01611190130625,01,61119,0130625
3,01611270130450,01,61127,0130450
4,01611430131177,01,61143,0131177
5,01611500132225,01,61150,0132225
6,01611680132746,01,61168,0132746
7,01611760130062,01,61176,0130062
8,01611760134270,01,61176,0134270
9,01611760134452,01,61176,0134452
10,01611760135244,01,61176,0135244
11,01611760138693,01,61176,0138693
12,01611920108670,01,61192,0108670
13,01611920127944,01,61192,0127944
14,01611920133629,01,61192,0133629
15,01611920135319,01,61192,0135319
16,01611920138339,01,61192,0138339
17,01612000133397,01,61200,0133397
18,01612000134536,01,61200,0134536
19,01612340130054,01,61234,0130054
20,01612420134668,01,61242,0134668
21,01612590100065,01,61259,0100065
22,01612590100701,01,61259,0100701
23,01612590108944,01,61259,0108944
24,01612590110189,01,61259,0110189
25,01612590111856,01,61259,0111856
26,01612590114868,01,61259,0114868
27,01612590115238,01,61259,0115238
28,01612590125161,01,61259,0125161
29,01612590125716,01,61259,0125716
30,01612590126748,01,61259,0126748
31,01612590132555,01,61259,0132555
32,01612590135905,01,61259,0135905
33,01612590136051,01,61259,0136051
34,01612590137943,01,61259,0137943
35,01612750136515,01,61275,0136515
36,01613090114421,01,61309,0114421
37,01613090130849,01,61309,0130849
38,01613090137810,01,61309,0137810
39,01750930132704,01,75093,0132704
40,01751010130096,01,75101,0130096
41,01751010130583,01,75101,0130583
42,03739810330753,03,73981,0330753
43,03739810334755,03,73981,0334755
44,04614080430827,04,61408,0430827
45,04614240120394,04,61424,0120394
46,04614240431676,04,61424,0431676
47,04614240437558,04,61424,0437558
48,04614320433201,04,61432,0433201
49,04615150434803,04,61515,0434803
50,04615150435602,04,61515,0435602
51,04615310121715,04,61531,0121715
52,04615310437350,04,61531,0437350
53,04755070433953,04,75507,0433953
54,05615560532507,05,61556,0532507
55,05615640531509,05,61564,0531509
56,06615980631259,06,61598,0631259
57,06616060634758,06,61606,0634758
58,06616140635250,06,61614,0635250
59,07100740731380,07,10074,0731380
60,07616300730283,07,61630,0730283
61,07616300731125,07,61630,0731125
62,07616300733725,07,61630,0733725
63,07616300734244,07,61630,0734244
64,07616480730465,07,61648,0730465
65,07616480730861,07,61648,0730861
66,07616970737023,07,61697,0737023
67,07617210107797,07,61721,0107797
68,07617210730457,07,61721,0730457
69,07617210733980,07,61721,0733980
70,07617390730549,07,61739,0730549
71,07617540730044,07,61754,0730044
72,07617540731646,07,61754,0731646
73,07617540731836,07,61754,0731836
74,07617540734566,07,61754,0734566
75,07617880735407,07,61788,0735407
76,07617960101477,07,61796,0101477
77,07617960730291,07,61796,0730291
78,07617960730598,07,61796,0730598
79,07617960732164,07,61796,0732164
80,07617960732941,07,61796,0732941
81,07617960733659,07,61796,0733659
82,07617960735316,07,61796,0735316
83,07617960735902,07,61796,0735902
84,07618040113118,07,61804,0113118
85,07618040730051,07,61804,0730051
86,07618040734368,07,61804,0734368
87,07618040736504,07,61804,0736504
88,08618200833004,08,61820,0833004
89,09618530930081,09,61853,0930081
90,09618530930164,09,61853,0930164
91,09618530930214,09,61853,0930214
92,09618530932756,09,61853,0932756
93,09618530936302,09,61853,0936302
94,09619030937805,09,61903,0937805
95,10621170113555,10,62117,0113555
96,10621171030196,10,62117,1030196
97,10621171030501,10,62117,1030501
98,10621171030683,10,62117,1030683
99,10621171031053,10,62117,1031053
100,10621251031376,10,62125,1031376
101,10621581032150,10,62158,1032150
102,10621660114553,10,62166,0114553
103,10621661030279,10,62166,1030279
104,10621661030295,10,62166,1030295
105,10621661030675,10,62166,1030675
106,10621661031897,10,62166,1031897
107,10621661032507,10,62166,1032507
108,10621661032911,10,62166,1032911
109,10621661034214,10,62166,1034214
110,10621661035831,10,62166,1035831
111,10622571033695,10,62257,1033695
112,10622650108092,10,62265,0108092
113,10622650116640,10,62265,0116640
114,10622650126292,10,62265,0126292
115,10622651035310,10,62265,1035310
116,10622811033950,10,62281,1033950
117,10623641034990,10,62364,1034990
118,10624141036094,10,62414,1036094
119,10624301036672,10,62430,1036672
120,10738091030121,10,73809,1030121
121,10739651030626,10,73965,1030626
122,10739991033430,10,73999,1033430
123,10751271030493,10,75127,1030493
124,10752341037456,10,75234,1037456
125,10752751036938,10,75275,1036938
126,10754081035575,10,75408,1035575
127,10755981030535,10,75598,1030535
128,10767781038306,10,76778,1038306
129,11626611132851,11,62661,1132851
130,11754811135656,11,75481,1135656
131,11765621133701,11,76562,1133701
132,12626870107110,12,62687,0107110
133,12626871230705,12,62687,1230705
134,12626871235209,12,62687,1235209
135,12628101233402,12,62810,1233402
136,12629011234004,12,62901,1234004
137,12630401237007,12,63040,1237007
138,12753741232909,12,75374,1232909
139,12753821230085,12,75382,1230085
140,12755151232206,12,75515,1232206
141,13630811331404,13,63081,1331404
142,13630991332204,13,63099,1332204
143,13631071332501,13,63107,1332501
144,13631151330133,13,63115,1330133
145,13631151333004,13,63115,1333004
146,13631491335306,13,63149,1335306
147,13631641335900,13,63164,1335900
148,13632141337609,13,63214,1337609
149,14632481431352,14,63248,1431352
150,14632891434901,14,63289,1434901
151,14632971436203,14,63297,1436203
152,14766871431600,14,76687,1431600
153,15634120100529,15,63412,0100529
154,15634120116384,15,63412,0116384
155,15634121531672,15,63412,1531672
156,15635290100198,15,63529,0100198
157,15635290110999,15,63529,0110999
158,15635290116392,15,63529,0116392
159,15635290116400,15,63529,0116400
160,15635291530252,15,63529,1530252
161,15635291530344,15,63529,1530344
162,15635291530369,15,63529,1530369
163,15635291530385,15,63529,1530385
164,15635291530476,15,63529,1530476
165,15635291530708,15,63529,1530708
166,15635291532290,15,63529,1532290
167,15635291532605,15,63529,1532605
168,15635291533330,15,63529,1533330
169,15635291533538,15,63529,1533538
170,15635291534775,15,63529,1534775
171,15635291535087,15,63529,1535087
172,15635291535392,15,63529,1535392
173,15635291536606,15,63529,1536606
174,15636281533843,15,63628,1533843
175,15636770114512,15,63677,0114512
176,15637761534957,15,63776,1534957
177,15638181535905,15,63818,1535905
178,15638261536135,15,63826,1536135
179,15638591536440,15,63859,1536440
180,15737421531367,15,73742,1531367
181,15739081534155,15,73908,1534155
182,15751681530401,15,75168,1530401
183,16638911632207,16,63891,1632207
184,16639250118919,16,63925,0118919
185,16639251630169,16,63925,1630169
186,16639251634401,16,63925,1634401
187,16639820110205,16,63982,0110205
188,16639821635606,16,63982,1635606
189,16739321630953,16,73932,1630953
190,17640141734359,17,64014,1734359
191,17640301732304,17,64030,1732304
192,17640551736008,17,64055,1736008
193,17769761737006,17,76976,1737006
194,18641391833805,18,64139,1833805
195,18750361833409,18,75036,1833409
196,19101990109942,19,10199,0109942
197,19642121930056,19,64212,1930056
198,19642121930361,19,64212,1930361
199,19642121933159,19,64212,1933159
200,19642460100081,19,64246,0100081
201,19642460108407,19,64246,0108407
202,19642461930213,19,64246,1930213
203,19642461936624,19,64246,1936624
204,19642461937051,19,64246,1937051
205,19642461995398,19,64246,1995398
206,19642461995406,19,64246,1995406
207,19642461995844,19,64246,1995844
208,19642611930288,19,64261,1930288
209,19642791930528,19,64279,1930528
210,19642791933449,19,64279,1933449
211,19642871930601,19,64287,1930601
212,19642871938166,19,64287,1938166
213,19642951930700,19,64295,1930700
214,19643111930981,19,64311,1930981
215,19643291931088,19,64329,1931088
216,19643291937739,19,64329,1937739
217,19643371931187,19,64337,1931187
218,19643371931237,19,64337,1931237
219,19643521933951,19,64352,1933951
220,19643521934926,19,64352,1934926
221,19643521935048,19,64352,1935048
222,19643781931666,19,64378,1931666
223,19643941931823,19,64394,1931823
224,19644361932086,19,64436,1932086
225,19644361936418,19,64436,1936418
226,19644361938372,19,64436,1938372
227,19644441932201,19,64444,1932201
228,19644511932441,19,64451,1932441
229,19644511939164,19,64451,1939164
230,19644691932482,19,64469,1932482
231,19645191930320,19,64519,1930320
232,19645191932664,19,64519,1932664
233,19645191932680,19,64519,1932680
234,19645191937481,19,64519,1937481
235,19645191995661,19,64519,1995661
236,19645271932706,19,64527,1932706
237,19645351932763,19,64535,1932763
238,19645681932144,19,64568,1932144
239,19645681933530,19,64568,1933530
240,19645681934082,19,64568,1934082
241,19645681996131,19,64568,1996131
242,19645761933597,19,64576,1933597
243,19645920100354,19,64592,0100354
244,19646341934231,19,64634,1934231
245,19646341936046,19,64634,1936046
246,19646341996529,19,64634,1996529
