,id,county_code,district_code,school_code,test_year,subgroup_id,test_type,total_tested,total_scores,grade,test_id,caaspp_rep_enrollment,students_tested,mean_scale_score,perc_std_exceed,perc_std_met,perc_std_met_exceed,perc_std_near_met,perc_std_not_met,students_with_scores,area1_perc_std_exceed,area1_perc_std_near,area1_perc_std_below,area2_perc_std_exceed,area2_perc_std_near,area2_perc_std_below,area3_perc_std_exceed,area3_perc_std_near,area3_perc_std_below,area4_perc_std_exceed,area4_perc_std_near,area4_perc_std_below,cds,id.1,cds.1,county_code.1,district_code.1,school_code.1,CohortStudents_All,CohortStudents_GF,CohortStudents_GM,CohortStudents_RA,CohortStudents_RB,CohortStudents_RH,RegularHSGradRate_GF,RegularHSGradRate_GM,RegularHSGradRate_RA,RegularHSGradRate_RB,RegularHSGradRate_RH,MetUCCSURate_GF,MetUCCSURate_GM,MetUCCSURate_RA,MetUCCSURate_RB,MetUCCSURate_RH,ELRate_12,Total_EL_12,MetUCCSURate_TA,District,CharterYN
01100170112607,1792,1,10017,112607,2017,1,B,90,90.0,11,2,93.0,90.0,2522.7,4.44,14.44,18.89,23.33,57.78,90.0,10.0,22.22,67.78,7.78,42.22,50.0,6.67,56.67,36.67,0.0,0.0,0.0,01100170112607,0,1100170112607,1,10017,112607,81.0,37.0,44.0,0.0,34.0,40.0,86.5,77.3,0.0,70.6,90.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,Alameda County Office of Education,1.0
01100170112607,1793,1,10017,112607,2017,1,B,91,91.0,11,1,93.0,91.0,2579.3,21.98,20.88,42.86,35.16,21.98,91.0,28.09,46.07,25.84,24.72,51.69,23.6,20.22,69.66,10.11,24.72,57.3,17.98,01100170112607,0,1100170112607,1,10017,112607,81.0,37.0,44.0,0.0,34.0,40.0,86.5,77.3,0.0,70.6,90.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,Alameda County Office of Education,1.0
01611190130229,8089,1,61119,130229,2017,1,B,419,419.0,11,1,438.0,419.0,2651.0,43.91,31.74,75.66,15.27,9.07,419.0,49.16,39.14,11.69,54.31,33.73,11.96,37.47,53.46,9.07,50.84,38.9,10.26,01611190130229,1,1611190130229,1,61119,130229,420.0,219.0,201.0,183.0,25.0,42.0,95.9,94.0,98.4,92.0,85.7,67.1,64.0,75.0,56.5,47.2,0.0,0.0,65.7,Alameda Unified,0.0
01611190130229,8090,1,61119,130229,2017,1,B,421,421.0,11,2,438.0,421.0,2644.5,29.69,28.74,58.43,20.67,20.9,421.0,46.08,29.22,24.7,30.4,46.79,22.8,35.39,50.36,14.25,0.0,0.0,0.0,01611190130229,1,1611190130229,1,61119,130229,420.0,219.0,201.0,183.0,25.0,42.0,95.9,94.0,98.4,92.0,85.7,67.1,64.0,75.0,56.5,47.2,0.0,0.0,65.7,Alameda Unified,0.0
01611190130625,8629,1,61119,130625,2017,1,B,19,18.0,11,1,35.0,19.0,2468.2,5.56,5.56,11.11,33.33,55.56,18.0,5.56,38.89,55.56,5.56,22.22,72.22,0.0,50.0,50.0,5.56,38.89,55.56,01611190130625,2,1611190130625,1,61119,130625,,,,,,,,,,,,,,,,,,,,,
01611190130625,8630,1,61119,130625,2017,1,B,22,20.0,11,2,35.0,22.0,2438.9,0.0,5.0,5.0,0.0,95.0,20.0,5.0,5.0,90.0,5.0,20.0,75.0,0.0,30.0,70.0,0.0,0.0,0.0,01611190130625,2,1611190130625,1,61119,130625,,,,,,,,,,,,,,,,,,,,,
01611270130450,13487,1,61127,130450,2017,1,B,250,249.0,11,2,289.0,250.0,2693.7,45.78,28.51,74.3,14.46,11.24,249.0,62.5,26.21,11.29,48.58,36.84,14.57,52.02,41.13,6.85,0.0,0.0,0.0,01611270130450,3,1611270130450,1,61127,130450,302.0,147.0,155.0,81.0,15.0,49.0,94.6,91.0,92.6,93.3,91.8,68.3,57.4,74.7,42.9,46.7,0.0,0.0,62.9,Albany City Unified,0.0
01611270130450,13488,1,61127,130450,2017,1,B,252,252.0,11,1,289.0,252.0,2676.5,53.97,29.37,83.33,12.3,4.37,252.0,62.6,33.33,4.07,61.85,29.32,8.84,43.6,52.4,4.0,55.87,38.06,6.07,01611270130450,3,1611270130450,1,61127,130450,302.0,147.0,155.0,81.0,15.0,49.0,94.6,91.0,92.6,93.3,91.8,68.3,57.4,74.7,42.9,46.7,0.0,0.0,62.9,Albany City Unified,0.0
01611430131177,15993,1,61143,131177,2017,1,B,539,538.0,11,2,734.0,539.0,2590.7,22.12,18.96,41.08,21.75,37.17,538.0,31.72,25.93,42.35,22.8,37.2,40.0,24.02,50.84,25.14,0.0,0.0,0.0,01611430131177,4,1611430131177,1,61143,131177,829.0,412.0,417.0,80.0,152.0,165.0,91.3,86.1,88.8,88.8,86.1,69.7,62.7,78.9,36.3,50.0,0.0,0.0,66.3,Berkeley Unified,0.0
01611430131177,15994,1,61143,131177,2017,1,B,587,581.0,11,1,734.0,587.0,2599.2,30.64,27.88,58.52,18.76,22.72,581.0,40.76,36.96,22.28,30.8,41.42,27.79,34.02,49.57,16.41,32.47,46.63,20.9,01611430131177,4,1611430131177,1,61143,131177,829.0,412.0,417.0,80.0,152.0,165.0,91.3,86.1,88.8,88.8,86.1,69.7,62.7,78.9,36.3,50.0,0.0,0.0,66.3,Berkeley Unified,0.0
