IndexId,Channel1,Channel2,Channel3,Channel4,Ref1,Ref2,Ref3,TS1,TS2
0,933.19,519.23,21.71,238.45,0,0,0,20:04:02,1.54319E+12
1,932.94,516.98,22.7,251.8,0,0,0,20:04:02,1.54319E+12
2,827.7,521.87,17.26,207.42,0,0,0,20:04:02,1.54319E+12
3,893.26,519.82,18.9,219.49,0,0,0,20:04:02,1.54319E+12
4,953.94,520.69,21.88,252.06,0,0,0,20:04:02,1.54319E+12
5,848.79,519.2,18.79,224.68,0,0,0,20:04:02,1.54319E+12
6,845.51,516.32,24.37,207.32,0,0,0,20:04:02,1.54319E+12
7,951.85,522.06,22.15,251.08,0,0,0,20:04:02,1.54319E+12
8,894.98,525.64,21.9,241.74,0,0,0,20:04:02,1.54319E+12
9,829.14,527.04,21.96,203.21,0,0,0,20:04:02,1.54319E+12
10,934.18,521.18,23.97,243.27,0,0,0,20:04:02,1.54319E+12
11,937.55,524.96,24.46,254.96,0,0,0,20:04:02,1.54319E+12
12,829.94,529.95,23.29,217.36,0,0,0,20:04:02,1.54319E+12
13,888.42,527.03,23.46,223.79,0,0,0,20:04:02,1.54319E+12
14,951.6,525.86,25.49,261.06,0,0,0,20:04:02,1.54319E+12
15,852.31,526.21,22.59,224.61,0,0,0,20:04:02,1.54319E+12
16,850.25,521.51,22.94,210.06,0,0,0,20:04:02,1.54319E+12
17,952.06,524.09,27.23,254.64,0,0,0,20:04:02,1.54319E+12
18,891.6,522.13,22.33,245.76,0,0,0,20:04:02,1.54319E+12
19,826.04,523.4,22.05,203.5,0,0,0,20:04:02,1.54319E+12
20,929.79,521.89,25.34,246.09,0,0,0,20:04:02,1.54319E+12
21,935.84,527.64,23.4,258.25,0,0,0,20:04:02,1.54319E+12
22,829.01,526.01,19.31,217.17,0,0,0,20:04:02,1.54319E+12
23,894.39,526.11,23.11,228.25,0,0,0,20:04:02,1.54319E+12
24,957.88,530.47,24.39,270.44,0,0,0,20:04:02,1.54319E+12
25,849.94,531.73,23.11,235.1,0,0,0,20:04:02,1.54319E+12
26,846.42,526.38,18.83,213.81,0,0,0,20:04:02,1.54319E+12
27,948.95,525.04,24.72,261.56,0,0,0,20:04:02,1.54319E+12
28,887.82,523.03,22.6,248.94,0,0,0,20:04:02,1.54319E+12
29,818.81,528.41,22.73,203.38,0,0,0,20:04:02,1.54319E+12
30,931.68,523.93,25.55,242.94,0,0,0,20:04:02,1.54319E+12
31,924.63,524,23.74,255.26,0,0,0,20:04:02,1.54319E+12
32,821.42,525.56,21.98,209.66,0,0,0,20:04:02,1.54319E+12
33,889.28,525.16,21.91,223.92,0,0,0,20:04:02,1.54319E+12
34,948.35,520.51,24.84,254.89,0,0,0,20:04:02,1.54319E+12
35,848.08,518.91,18.57,225.74,0,0,0,20:04:02,1.54319E+12
36,846.09,522.79,22.45,209.43,0,0,0,20:04:02,1.54319E+12
37,949.87,523.01,25.9,254.55,0,0,0,20:04:02,1.54319E+12
38,887.49,526.9,23.29,244.79,0,0,0,20:04:02,1.54319E+12
39,820.08,525.76,22.9,204.32,0,0,0,20:04:02,1.54319E+12
40,927.68,524.31,24.05,240.28,0,0,0,20:04:02,1.54319E+12
41,928.11,527.52,23.32,259.29,0,0,0,20:04:02,1.54319E+12
42,823.42,528.3,21.42,211.98,0,0,0,20:04:02,1.54319E+12
43,888.77,529.24,25.13,224.68,0,0,0,20:04:02,1.54319E+12
44,953.29,532.42,24.46,266.04,0,0,0,20:04:02,1.54319E+12
45,849.5,528.74,23.85,229.97,0,0,0,20:04:02,1.54319E+12
46,851.69,529.87,22.79,207.3,0,0,0,20:04:02,1.54319E+12
47,955.29,530.54,27.44,258.43,0,0,0,20:04:02,1.54319E+12
48,894.12,525.22,21.62,249.03,0,0,0,20:04:02,1.54319E+12
49,823.15,529.71,21.61,206.95,0,0,0,20:04:02,1.54319E+12
50,933.24,530.68,23.47,244.81,0,0,0,20:04:02,1.54319E+12
51,932.33,531.47,22.98,259.8,0,0,0,20:04:03,1.54319E+12
52,824.94,532.24,21.55,220,0,0,0,20:04:03,1.54319E+12
53,898.45,535.24,24.29,236.37,0,0,0,20:04:03,1.54319E+12
54,957.79,534.14,25.54,270.85,0,0,0,20:04:03,1.54319E+12
55,850.83,533.43,22.93,236.11,0,0,0,20:04:03,1.54319E+12
56,853.07,529.47,20.65,217.54,0,0,0,20:04:03,1.54319E+12
57,952.73,527.54,23.38,255.34,0,0,0,20:04:03,1.54319E+12
58,889.47,524.64,22.45,242.3,0,0,0,20:04:03,1.54319E+12
59,818.28,523.26,22.02,200.49,0,0,0,20:04:03,1.54319E+12
60,928.76,523.3,27.33,241.47,0,0,0,20:04:03,1.54319E+12
61,933.04,526.95,25.06,251.98,0,0,0,20:04:03,1.54319E+12
62,823.03,523.5,21.76,211.67,0,0,0,20:04:03,1.54319E+12
63,892.63,520.15,23.9,225.72,0,0,0,20:04:03,1.54319E+12
64,951.5,519.86,22.63,260.36,0,0,0,20:04:03,1.54319E+12
65,847.98,520.33,22.46,227.76,0,0,0,20:04:03,1.54319E+12
66,852.42,522.2,24.75,205.24,0,0,0,20:04:03,1.54319E+12
67,955.66,521.17,25.44,255.26,0,0,0,20:04:03,1.54319E+12
68,897.6,522.96,21.8,250.34,0,0,0,20:04:03,1.54319E+12
69,830.24,524.49,20.74,208.73,0,0,0,20:04:03,1.54319E+12
70,937.18,523.1,21.86,244.4,0,0,0,20:04:03,1.54319E+12
71,938.55,526,24.34,258.73,0,0,0,20:04:03,1.54319E+12
72,832.21,526.48,21.67,206.63,0,0,0,20:04:03,1.54319E+12
73,894.64,516.89,21.07,216.21,0,0,0,20:04:03,1.54319E+12
74,954.46,514.2,24.59,252.56,0,0,0,20:04:03,1.54319E+12
75,854.04,519.98,24.23,218.54,0,0,0,20:04:03,1.54319E+12
76,853.52,520.15,18.51,202.26,0,0,0,20:04:03,1.54319E+12
77,956.4,521.87,24.44,252.87,0,0,0,20:04:03,1.54319E+12
78,891.9,518.55,25.97,242.07,0,0,0,20:04:03,1.54319E+12
79,822.75,521.09,21.58,199.93,0,0,0,20:04:03,1.54319E+12
80,929.65,517.43,24.94,238.76,0,0,0,20:04:03,1.54319E+12
81,929.28,517.63,28.47,250.43,0,0,0,20:04:03,1.54319E+12
82,822.71,522.84,21.4,208.76,0,0,0,20:04:03,1.54319E+12
83,894.46,521.56,25.2,220.67,0,0,0,20:04:03,1.54319E+12
84,953.92,525.36,24.57,260.19,0,0,0,20:04:03,1.54319E+12
85,851.77,528.7,22.35,222.12,0,0,0,20:04:03,1.54319E+12
86,855.4,526.41,24.4,208.14,0,0,0,20:04:03,1.54319E+12
87,960.18,525.99,27.62,263.46,0,0,0,20:04:03,1.54319E+12
88,894.97,526.22,25.14,244.82,0,0,0,20:04:03,1.54319E+12
89,828.39,526.94,23.06,206.3,0,0,0,20:04:03,1.54319E+12
90,941.07,529.13,24.31,247.9,0,0,0,20:04:03,1.54319E+12
91,929.8,524.08,26.36,256.42,0,0,0,20:04:03,1.54319E+12
92,826.39,525.48,21.73,211.42,0,0,0,20:04:03,1.54319E+12
93,890.89,523.11,27.01,226.57,0,0,0,20:04:03,1.54319E+12
94,949.86,519.86,26.23,254.77,0,0,0,20:04:03,1.54319E+12
95,840.71,518.02,23.77,216.68,0,0,0,20:04:03,1.54319E+12
96,839.39,513.98,22.72,199.18,0,0,0,20:04:03,1.54319E+12
97,944.2,520.51,24.99,250.36,0,0,0,20:04:03,1.54319E+12
98,882.42,522.24,23.01,240.1,0,0,0,20:04:03,1.54319E+12
99,821.51,517.14,21.89,201.05,0,0,0,20:04:03,1.54319E+12
100,929.43,523.64,26.96,250.01,0,0,0,20:04:03,1.54319E+12
101,925.25,520.56,23.97,256.62,0,0,0,20:04:03,1.54319E+12
102,817.65,523.75,23.68,213.18,0,0,0,20:04:03,1.54319E+12
103,887.19,521.85,22.47,224.35,0,0,0,20:04:03,1.54319E+12
104,945.82,523.05,27.67,258.72,0,0,0,20:04:03,1.54319E+12
105,840.65,523.63,22.89,226.41,0,0,0,20:04:03,1.54319E+12
106,842.78,524.59,20.93,210.86,0,0,0,20:04:03,1.54319E+12
107,944.18,524.81,24.62,253.99,0,0,0,20:04:03,1.54319E+12
108,880.28,522.12,24.6,246.75,0,0,0,20:04:03,1.54319E+12
109,812.76,521.83,23.25,199.15,0,0,0,20:04:03,1.54319E+12
110,918.6,518.11,26.1,239.11,0,0,0,20:04:03,1.54319E+12
111,912.73,520.4,23.59,251.67,0,0,0,20:04:03,1.54319E+12
112,807.19,516.73,19.7,206.42,0,0,0,20:04:03,1.54319E+12
113,872.28,517.8,22.82,220.27,0,0,0,20:04:03,1.54319E+12
114,930.52,518.03,26.75,248.71,0,0,0,20:04:03,1.54319E+12
115,825.37,516.9,24.05,219.33,0,0,0,20:04:03,1.54319E+12
116,827.07,507.58,24.78,192.81,0,0,0,20:04:03,1.54319E+12
117,933.24,506.74,25.02,235.49,0,0,0,20:04:03,1.54319E+12
118,873.32,514.43,21.56,230.88,0,0,0,20:04:03,1.54319E+12
119,800.68,505.73,20.88,185.69,0,0,0,20:04:03,1.54319E+12
120,914.33,504.96,22.34,220.03,0,0,0,20:04:03,1.54319E+12
121,912.81,507.31,25.96,243.53,0,0,0,20:04:03,1.54319E+12
122,807.46,509.38,19.15,191.1,0,0,0,20:04:03,1.54319E+12
123,882.22,512.82,23.26,210.83,0,0,0,20:04:03,1.54319E+12
124,945.08,512.46,23.41,250.39,0,0,0,20:04:03,1.54319E+12
125,841.39,507.04,20.25,204.95,0,0,0,20:04:03,1.54319E+12
126,845.85,508.44,20.49,193.21,0,0,0,20:04:03,1.54319E+12
127,953.02,518.67,25.81,247.33,0,0,0,20:04:03,1.54319E+12
128,885.68,515.05,25.5,228.08,0,0,0,20:04:03,1.54319E+12
