Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"July 19, 2018","July 19, 2018",Bike Ride,364,6.19591,1902,5.11628,1.25221,11.7273,47.9153,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3027838879
"July 19, 2018","July 19, 2018",Bike Ride,291,6.33646,2211,5.81555,1.25051,10.3172,47.9804,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3027512605
"July 17, 2018","July 17, 2018",Bike Ride,331,6.16136,2044,5.52908,0.804743,10.8517,74.558,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3023782891
"July 17, 2018","July 17, 2018",Bike Ride,362,6.26448,1963,5.22257,1.3896,11.4886,43.1778,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3022904659
"July 16, 2018","July 16, 2018",Bike Ride,353,6.15162,1946,5.27232,1.30484,11.3802,45.9827,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3021451387
"July 16, 2018","July 16, 2018",Bike Ride,327,6.31362,2123,5.60429,0.904189,10.7061,66.3578,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3020512009
"July 14, 2018","July 14, 2018",Bike Ride,1824,28.8442,7939,4.58729,0.352647,13.0796,170.142,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/3017173384
"July 5, 2018","July 5, 2018",Bike Ride,371,6.04021,1739,4.7984,0.670444,12.5042,89.4929,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/2997962578
"July 5, 2018","July 5, 2018",Bike Ride,323,6.27887,2116,5.61672,1.01665,10.6824,59.0171,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/2997288994
"July 5, 2018","July 3, 2018",Bike Ride,351,6.2628,2039,5.42622,1.09795,11.0574,54.6473,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/2997288910
"July 3, 2018","July 3, 2018",Bike Ride,337,6.42956,2153,5.58099,1.07827,10.7508,55.6446,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/2993063053
"July 3, 2018","July 3, 2018",Bike Ride,272,3.92267,2395,10.1759,1.10716,5.89628,54.1928,0,,,Map My Fitness MapMyRide Android,http://www.mapmyride.com/workout/2992094989
